date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:50	40760/40760	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/index.html	(from )
16:12:50	1307/1307	---MCZ	200	added ('OK')	text/plain	date:Mon,%2019%20Jan%202026%2010:42:50%20GMT	https://sacred-texts.com/robots.txt		(from )
16:12:51	2041/2041	---MCZ	200	added ('OK')	text/css	etag:W/%22ba4cb19405363b2570ce8c6190253541%22	https://sacred-texts.com/css/ista.css	C:/DK-SITES/islam/sacred-texts.com/css/ista.css	(from https://sacred-texts.com/isl/index.htm)
16:12:52	6153/6153	---MCZ	200	added ('OK')	application/javascript	etag:%222ZgJNk/ZUrIMtU2JVuxrhA==%22	https://cdn.usefathom.com/script.js	C:/DK-SITES/islam/cdn.usefathom.com/script.js	(from https://sacred-texts.com/isl/index.htm)
16:12:52	23463/23463	---M--	200	added ('OK')	image/gif	etag:%22be4afd9333cbdb9bf3d6fbd7be022dca%22	https://sacred-texts.com/img/cdad.gif	C:/DK-SITES/islam/sacred-texts.com/img/cdad.gif	(from https://sacred-texts.com/isl/index.htm)
16:12:52	36885/36885	---M--	200	added ('OK')	image/jpeg	etag:%2269ee1bc4459ee7586ddc11e7747b09f1%22	https://sacred-texts.com/img/menu.jpg	C:/DK-SITES/islam/sacred-texts.com/img/menu.jpg	(from https://sacred-texts.com/isl/index.htm)
16:12:52	36585/36585	---M--	200	added ('OK')	image/gif	etag:%22139c1d7d77db9f3836ec51c8688e6c5b%22	https://sacred-texts.com/img/sidemenu.gif	C:/DK-SITES/islam/sacred-texts.com/img/sidemenu.gif	(from https://sacred-texts.com/isl/index.htm)
16:12:53	18278/18278	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/shi.htm	C:/DK-SITES/islam/sacred-texts.com/isl/shi.html	(from https://sacred-texts.com/isl/index.htm)
16:12:53	7598/7598	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/etc/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/etc/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:54	40484/40484	---M--	200	added ('OK')	image/jpeg	etag:%2293be040e35c0a2358ecd350b9c332b6a%22	https://sacred-texts.com/isl/islam.jpg	C:/DK-SITES/islam/sacred-texts.com/isl/islam.jpg	(from https://sacred-texts.com/isl/index.htm)
16:12:54	1556/1556	---M--	200	added ('OK')	image/jpeg	etag:%224f50f73feb6fe77cea68735cb80cc666%22	https://sacred-texts.com/img/buycd.jpg	C:/DK-SITES/islam/sacred-texts.com/img/buycd.jpg	(from https://sacred-texts.com/isl/index.htm)
16:12:55	53652/53652	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/htq/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/htq/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:55	17994/17994	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:17%20GMT	https://sacred-texts.com/isl/quran/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/quran/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:56	16207/16207	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:20%20GMT	https://sacred-texts.com/isl/uq/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/uq/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:56	7534/7534	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:18%20GMT	https://sacred-texts.com/isl/sbe06/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sbe06/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:57	12431/12431	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/sbe09/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/sbe09/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:57	13278/13278	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:15%20GMT	https://sacred-texts.com/isl/qr/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/qr/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:58	13078/13078	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:14%20GMT	https://sacred-texts.com/isl/pick/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/pick/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:58	1316/1316	---M--	200	added ('OK')	image/gif	etag:%225ad89b5995e038c5d9f99ed69ceb6d1a%22	https://sacred-texts.com/new2.gif	C:/DK-SITES/islam/sacred-texts.com/new2.gif	(from https://sacred-texts.com/isl/index.htm)
16:12:58	16767/16767	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:20%20GMT	https://sacred-texts.com/isl/yaq/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/yaq/index.html	(from https://sacred-texts.com/isl/index.htm)
16:12:59	8045/8045	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/hadith/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/hadith/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:00	6466/6466	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/bukhari/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/bukhari/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:00	16814/16814	---MCZ	200	added ('OK')	text/plain	etag:W/%223f7898a2bfb831f0b393756f4d0eb106%22	https://sacred-texts.com/isl/khayyam.txt	C:/DK-SITES/islam/sacred-texts.com/isl/khayyam.txt	(from https://sacred-texts.com/isl/index.htm)
16:13:01	9971/9971	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/omy/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/omy/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:02	11842/11842	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/spa/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/spa/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:02	7464/7464	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/kas/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/kas/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:03	10480/10480	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/mes/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/mes/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:04	8082/8082	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:00%20GMT	https://sacred-texts.com/isl/bp/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/bp/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:05	11671/11671	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:14%20GMT	https://sacred-texts.com/isl/pdh/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/pdh/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:05	7317/7317	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/masnavi/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/masnavi/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:07	7975/7975	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:18%20GMT	https://sacred-texts.com/isl/saab/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/saab/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:08	8339/8339	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/ssw/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/ssw/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:08	333563/333563	---MCZ	200	added ('OK')	text/plain	etag:W/%2205b8bbad7a38fa013b2e5b8162137d4a%22	https://sacred-texts.com/isl/gulistan.txt	C:/DK-SITES/islam/sacred-texts.com/isl/gulistan.txt	(from https://sacred-texts.com/isl/index.htm)
16:13:08	6595/6595	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/tah/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/tah/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:09	12768/12768	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/egt/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/egt/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:10	8343/8343	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/bus/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/bus/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:10	9763/9763	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/taa/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/taa/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:11	8158/8158	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:20%20GMT	https://sacred-texts.com/isl/zun/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/zun/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:12	59637/59637	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/msl/msl.htm	C:/DK-SITES/islam/sacred-texts.com/isl/msl/msl.html	(from https://sacred-texts.com/isl/index.htm)
16:13:13	273858/273858	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/moi/moi.htm	C:/DK-SITES/islam/sacred-texts.com/isl/moi/moi.html	(from https://sacred-texts.com/isl/index.htm)
16:13:13	8622/8622	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/srg/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/srg/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:14	9309/9309	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/iq/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/iq/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:15	10413/10413	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:19%20GMT	https://sacred-texts.com/isl/siim/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/siim/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:15	7268/7268	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/mishkat/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/mishkat/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:16	8461/8461	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:11%20GMT	https://sacred-texts.com/isl/daa/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/daa/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:16	8334/8334	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:17%20GMT	https://sacred-texts.com/isl/rok/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/rok/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:17	9353/9353	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:00%20GMT	https://sacred-texts.com/isl/ath/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/ath/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:18	9237/9237	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/gsw/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/gsw/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:19	19950/19950	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:00%20GMT	https://sacred-texts.com/isl/arp/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/arp/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:20	10226/10226	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:12%20GMT	https://sacred-texts.com/isl/hpi/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/hpi/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:21	10011/10011	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:00%20GMT	https://sacred-texts.com/isl/arw/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/arw/index.html	(from https://sacred-texts.com/isl/index.htm)
16:13:22	12949/12949	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Dec%202025%2005:45:13%20GMT	https://sacred-texts.com/isl/mhm/index.htm	C:/DK-SITES/islam/sacred-texts.com/isl/mhm/index.html	(from https://sacred-texts.com/isl/index.htm)
